strike	2021-09-02	2021-09-03	2021-09-07	2021-09-08	2021-09-09	2021-09-10	2021-09-13	2021-09-14	2021-09-15	2021-09-16
16280	686.49	634.45	610.76	665.75	724.23	839.56	842.45	896.71	776.77	764.08
16290	696.25	644.25	620.54	675.61	734.13	849.52	852.44	906.70	786.76	774.08
16300	706.01	654.05	630.32	685.46	744.03	859.49	862.42	916.68	796.75	784.08
16310	715.80	663.85	640.11	695.34	753.94	869.47	872.41	926.66	806.74	794.08
16320	725.60	673.67	649.92	705.24	763.84	879.46	882.39	936.65	816.73	804.08
16325	730.50	678.60	654.84	710.19	768.79	884.45	887.39	941.64	821.72	809.08
16330	735.40	683.52	659.76	715.14	773.74	889.44	892.38	946.63	826.71	814.08
16340	745.20	693.37	669.61	725.04	783.64	899.42	902.36	956.61	836.70	824.08
16350	755.02	703.22	679.45	734.93	793.55	909.40	912.35	966.59	846.69	834.08
16360	764.86	713.07	689.30	744.84	803.45	919.38	922.33	976.58	856.68	844.08
16370	774.70	722.94	699.16	754.75	813.35	929.37	932.32	986.56	866.67	854.08
16375	779.62	727.88	704.10	759.70	818.33	934.36	937.31	991.56	871.67	859.08
16380	784.55	732.82	709.03	764.66	823.30	939.35	942.30	996.55	876.66	864.08
16390	794.41	742.71	718.90	774.57	833.26	949.33	952.29	1006.54	886.65	874.08
16400	804.28	752.60	728.79	784.48	843.21	959.31	962.27	1016.53	896.65	884.08
16425	828.96	777.35	753.51	809.29	867.92	984.27	987.24	1041.51	921.64	909.08
16450	853.65	802.10	778.24	834.12	893.08	1009.22	1012.20	1066.49	946.63	934.08
16475	878.40	826.90	803.04	858.93	917.92	1034.18	1037.16	1091.48	971.62	959.08
16500	903.15	851.69	827.84	883.75	942.92	1059.13	1062.12	1116.47	996.61	984.08
16525	927.91	876.48	852.66	908.59	968.00	1084.09	1087.09	1141.46	1021.60	1009.08
16550	952.35	901.33	877.51	933.45	992.97	1109.04	1112.05	1166.45	1046.61	1034.08
16575	977.52	926.18	902.36	958.32	1017.94	1134.00	1137.02	1191.44	1071.60	1059.08
16600	1002.32	951.03	927.25	983.20	1042.92	1158.95	1162.00	1216.44	1096.60	1084.08
16625	1027.14	975.88	952.13	1008.08	1067.89	1183.91	1186.98	1241.44	1121.60	1109.08
16650	1051.97	1000.75	977.03	1032.98	1092.86	1208.86	1211.97	1266.44	1146.60	1134.08
16675	1076.82	1025.62	1001.93	1057.88	1117.83	1233.82	1236.96	1291.44	1171.60	1159.08
16700	1101.67	1050.49	1026.86	1082.79	1142.80	1258.77	1261.94	1316.43	1196.60	1184.08
16725	1126.54	1075.39	1051.79	1107.72	1167.77	1283.73	1286.94	1341.43	1221.60	1209.08
16750	1151.42	1100.29	1076.73	1132.65	1192.74	1308.68	1311.93	1366.43	1246.60	1234.08
16775	1176.29	1125.19	1101.66	1157.58	1217.71	1333.64	1336.93	1391.43	1271.60	1259.08
16800	1201.20	1150.11	1126.60	1182.51	1242.68	1358.60	1361.92	1416.43	1296.59	1284.08
16825	1226.10	1175.02	1151.55	1207.46	1267.66	1383.56	1386.92	1441.43	1321.59	1309.08
16850	1251.01	1199.93	1176.50	1232.42	1292.91	1408.53	1411.92	1466.43	1346.59	1334.08
16875	1275.92	1224.84	1201.45	1257.38	1317.60	1433.51	1436.91	1491.43	1371.59	1359.08
16900	1300.82	1249.78	1226.41	1282.34	1342.58	1458.49	1461.91	1516.43	1396.59	1384.08
16925	1325.74	1274.72	1251.38	1307.31	1367.55	1483.47	1486.91	1541.43	1421.59	1409.08
16950	1350.68	1299.66	1276.35	1332.27	1392.52	1508.46	1511.91	1566.43	1446.59	1434.08
